Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
537,5.40116,1e-06,-0.045573711395
538,5.41123,1e-06,-0.045402050018
539,5.4213,1e-06,-0.045321941376
540,5.43137,1e-06,-0.045196056366
541,5.44144,1e-06,-0.045081615448
542,5.45151,1e-06,-0.044944286346
543,5.46159,1e-06,-0.044829845428
544,5.47166,1e-06,-0.044703960419
545,5.48173,1e-06,-0.04456615448
546,5.49179,1e-06,-0.044474601746
547,5.50188,1e-06,-0.044325828552
548,5.51194,1e-06,-0.044257164001
549,5.52201,1e-06,-0.044074058533
550,5.53209,1e-06,-0.044028282166
551,5.54217,1e-06,-0.043833732605
552,5.55225,1e-06,-0.043765068054
553,5.56232,1e-06,-0.043604373932
554,5.57241,1e-06,-0.043547153473
555,5.58249,1e-06,-0.043386936188
556,5.59257,1e-06,-0.043318271637
557,5.60264,1e-06,-0.043158054352
558,5.61271,1e-06,-0.043066501617
559,5.62278,1e-06,-0.04289484024
560,5.63285,1e-06,-0.042871952057
561,5.64293,1e-06,-0.042665958405
562,5.65301,1e-06,-0.042631626129
563,5.66308,1e-06,-0.04242515564
564,5.67315,1e-06,-0.042367935181
565,5.68322,1e-06,-0.042207717896
566,5.6933,1e-06,-0.042127609253
567,5.70338,1e-06,-0.041944503784
568,5.71345,1e-06,-0.041887283325
569,5.72352,1e-06,-0.041704177856
570,5.73525,1e-06,-0.041589260101
571,5.74667,1e-06,-0.04132604599
572,5.75673,1e-06,-0.041429042816
573,5.76679,1e-06,-0.041097164154
574,5.77687,1e-06,-0.041154384613
575,5.78694,1e-06,-0.040856838226
576,5.79701,1e-06,-0.040891170502
577,5.8071,1e-06,-0.040673732758
578,5.81715,1e-06,-0.040650844574
579,5.82724,1e-06,-0.040421485901
580,5.83732,1e-06,-0.040432929993
